mean_x,mean_y,mean_z,mean_mag,std_x,std_y,std_z,std_mag,var_x,var_y,var_z,var_mag,range_x,range_y,range_z,range_mag,max_x,max_y,max_z,max_mag,min_x,min_y,min_z,min_mag,q25_mag,q50_mag,q75_mag,cv_mag,rms_x,rms_y,rms_z,rms_mag,mean_jerk,std_jerk,max_jerk,min_jerk,sma,zcr_x,zcr_y,zcr_z,zcr_mag,energy_x,energy_y,energy_z,energy_mag,dominant_power,spectral_energy,power_tremor_band,power_low_freq,power_mid_freq,power_high_freq,spectral_entropy,spectral_centroid,spectral_spread,freeze_index,locomotor_power,freeze_power,cadence_spm,step_regularity,freeze_ratio,steps_10s,numSamples,label
-0.444851852,2.030006536,-0.627309368,2.192734644,0.222523818,0.426608337,0.212223133,0.425207843,0.04951685,0.181994673,0.045038658,0.18080171,1.625,2.238,1.117,2.365661814,0.316,3.492,-0.059,3.683643984,-1.309,1.254,-1.176,1.31798217,1.879388477,2.110522447,2.459501215,0.193916689,0.497403277,2.074348382,0.662235382,2.233581637,448.5345427,423.7951738,3400.144298,34.00367627,3.106093682,8,0,0,37,113.561199,1975.040835,201.297067,2289.899101,1006.465202,1032017.945,1122.927262,15167.69741,2799.925499,895.1519179,4.227372108,2.636113876,4.32611877,0.184597927,15167.69741,2799.925499,98.03921569,0.123023144,0.155831715,14,459,gait_normal
-0.568995671,2.006818182,-0.064331169,2.111642391,0.27267452,0.412410449,0.185912948,0.418542227,0.074351394,0.170082378,0.034563624,0.175177596,4.183,2.09,1.207,1.994514258,1.32,3.254,0.242,3.362719287,-2.863,1.164,-0.965,1.368205028,1.770726485,2.060347826,2.348316829,0.198206964,0.63095758,2.048756109,0.196728553,2.152721808,462.124184,680.8563797,8174.899464,20.15564437,2.747383117,4,0,46,48,183.92565,1939.199536,17.880381,2141.005567,975.5787847,970449.0055,1699.559865,14194.81527,3515.144022,693.605826,4.569584,3.307533889,5.313705986,0.247635771,14194.81527,3515.144022,97.4025974,0.133867129,0.198484026,14,462,gait_slow
-0.60083524,2.012347826,-0.069574371,2.124710858,0.26872931,0.457882299,0.172662213,0.461167004,0.072215442,0.209656199,0.02981224,0.212675005,2.066,2.367,0.922,2.242068245,0.25,3.48,0.301,3.652443018,-1.816,1.113,-0.621,1.410374773,1.762535106,2.054350262,2.368988392,0.2170493,0.658193306,2.063782928,0.186152714,2.174182889,450.2780938,497.0869715,4629.982451,18.87458609,2.771997712,4,0,43,46,189.316453,1861.270388,15.143288,2065.730129,928.4986447,882416.0135,1191.593159,16864.71132,2696.419224,648.3462311,4.190378645,2.876462386,4.780769878,0.159885288,16864.71132,2696.419224,102.9748284,0.067446124,0.137845776,14,437,gait_normal
-0.647153488,2.075127907,-0.050995349,2.241390696,0.444588615,0.560228761,0.305095837,0.55527517,0.197659037,0.313856265,0.09308347,0.308330515,3.984,3.09,1.753,2.88402073,0.906,3.797,0.562,4.140290207,-3.078,0.707,-1.191,1.256269477,1.78881763,2.156214538,2.553120916,0.247736894,0.785153918,2.14942134,0.309328297,2.309147627,765.3682031,979.8261028,9915.229763,16.00781059,2.997504651,12,0,37,42,265.08067,1986.605201,41.144118,2292.829989,963.7979991,957411.6301,1743.959991,22903.22816,4033.234115,1052.613985,4.666476576,3.594210638,5.612760017,0.176098936,22903.22816,4033.234115,111.627907,0.026127891,0.149731397,16,430,gait_fast
-0.425946835,-1.96775443,-0.088164557,2.027809701,0.121890882,0.267544555,0.193884373,0.270698427,0.014857387,0.071580089,0.03759115,0.073277638,0.769,1.41,1.004,1.377918532,0.07,-1.547,0.391,3.008564109,-0.699,-2.957,-0.613,1.630645578,1.819520678,1.999922248,2.149648376,0.133493013,0.443044122,1.985859408,0.212988589,2.045798089,200.1943036,190.8114495,1727.635668,1.49E-13,2.57103038,2,0,22,48,77.533797,1557.736847,17.918835,1653.189479,800.9848317,647293.1072,996.6369849,3918.427168,1649.148163,71.03133041,3.345251553,1.894364473,3.826051795,0.420869929,3918.427168,1649.148163,98.73417722,0.20523699,0.29620581,10,395,gait_slow
-0.383640288,-2.168414868,-0.033023981,2.239392904,0.311633186,0.505242457,0.274457956,0.512957374,0.097115242,0.255269941,0.07532717,0.263125268,1.828,2.735,1.418,2.744826077,0.34,-1.117,0.598,3.900291784,-1.488,-3.852,-0.82,1.155465707,1.827537414,2.195173569,2.575881597,0.229060909,0.49426219,2.226497918,0.276437611,2.297391096,372.7058062,492.7298461,5796.113461,29.26174978,2.814940048,30,0,38,37,101.871062,2067.191173,31.866203,2200.928438,933.826841,894909.6564,1274.078302,19616.12255,2661.826679,242.9498302,4.048363911,2.27384318,3.9691468,0.135695863,19616.12255,2661.826679,100.7194245,0.094961842,0.119482572,16,417,gait_normal
-0.287056399,-2.717388286,0.103190889,2.840319114,0.507114996,0.69668308,0.577655823,0.697176698,0.257165619,0.485367313,0.33368625,0.486055348,2.875,3.258,2.512,3.162806759,1.121,-1.422,1.387,4.685503708,-1.754,-4.68,-1.125,1.522696949,2.267081163,2.795616927,3.344197961,0.245457172,0.582723773,2.805274748,0.586800315,2.924631262,643.792691,470.1024102,3655.121407,31.81980515,3.694750542,53,0,39,33,156.540385,3627.870116,158.738255,3943.148756,1309.387112,1766142.088,3202.766531,40400.3697,6986.98854,738.1837741,4.694012533,2.660846713,4.40760574,0.172943678,40400.3697,6986.98854,117.1366594,0.143972316,0.147444145,18,461,gait_fast
-0.813942529,1.90425977,-0.007850575,2.085297906,0.206568502,0.325497411,0.120263363,0.321534403,0.042670546,0.105948565,0.014463277,0.103384372,1.25,1.742,0.633,1.681973233,-0.305,3.137,0.309,3.286004717,-1.555,1.395,-0.324,1.604031483,1.829948958,2.024962716,2.243521895,0.154191112,0.839745787,1.931878318,0.120519326,2.109941168,474.4720997,456.6857394,4191.629307,16.20185175,2.813354023,0,0,50,58,306.750249,1623.486919,6.318335,1936.555503,907.1045893,832620.0858,1053.510961,7294.808037,1948.965595,386.4605388,3.932349303,2.84518466,5.02090214,0.267171608,7294.808037,1948.965595,89.65517241,0.086586501,0.210840905,10,435,gait_slow
-0.752070423,2.013112676,-0.106143662,2.18307528,0.372751215,0.629847483,0.170711384,0.654580067,0.138943468,0.396707852,0.029142377,0.428475064,2.222,3.117,0.922,3.186270345,0.148,4.039,0.277,4.362572177,-2.074,0.922,-0.645,1.176301832,1.593779252,2.109666798,2.667580128,0.299843103,0.839376786,2.109343618,0.201019535,2.279099107,778.4510646,844.5593074,7905.825384,20,2.920983099,8,0,55,31,250.116453,1579.512327,14.345143,1843.973923,774.9917243,627603.7816,1634.866988,20882.74313,4018.754013,1314.13297,4.967987192,3.967027024,5.661130327,0.192443779,20882.74313,4018.754013,118.3098592,0.082705723,0.16138604,14,355,gait_normal
-0.739535047,2.219196262,0.00632243,2.416602909,0.583052915,0.723220674,0.264821265,0.751627324,0.339950702,0.523048144,0.070130303,0.564943635,3.32,3.356,1.984,3.601899148,0.836,4.141,0.996,4.484072033,-2.484,0.785,-0.988,0.882172886,1.833807702,2.328226634,2.964368808,0.311026409,0.941733926,2.334069449,0.264896726,2.530793009,1163.866768,891.2585994,5014.674715,79.45124291,3.190988318,30,0,66,49,379.577273,2331.692722,30.032878,2741.302873,1034.306045,1121532.6,2787.385254,37547.41681,7765.961925,4058.674238,5.26750132,4.227104522,5.571097398,0.206830791,37547.41681,7765.961925,126.1682243,0.051844858,0.171383422,16,428,gait_fast
